sku_id,name,frame_shape,material,color,price_point,gender,season_launched,is_active,supplier_id,cost_price,retail_price,category,launch_date
SKU0001,Acetate Rectangle 1,oval,tr90,rose_gold,premium,men,SS24,True,SUP002,153.66,444.75,sunglasses,2024-03-17
SKU0002,Wood Rectangle 2,square,titanium,brown,mid,women,SS24,False,SUP012,55.31,137.49,sunglasses,2023-08-13
SKU0003,Stainless_Steel Oval 3,oversized,tr90,tortoise,premium,men,AW23,True,SUP012,165.38,384.02,optical,2022-05-29
SKU0004,Stainless_Steel Square 4,oversized,titanium,brown,premium,unisex,SS23,True,SUP007,149.21,378.56,optical,2022-04-24
SKU0005,Stainless_Steel Aviator 5,square,acetate,red,budget,women,AW23,False,SUP004,48.7,110.03,sunglasses,2024-02-04
SKU0006,Tr90 Aviator 6,round,titanium,tortoise,luxury,women,AW24,True,SUP002,334.86,823.96,optical,2022-08-28
SKU0007,Aluminium Rectangle 7,rectangle,titanium,silver,premium,women,AW24,False,SUP001,146.6,346.27,sunglasses,2023-11-05
SKU0008,Stainless_Steel Cat Eye 8,cat_eye,acetate,brown,premium,women,AW24,False,SUP013,111.83,409.89,sunglasses,2022-05-01
SKU0009,Tr90 Round 9,square,acetate,brown,budget,unisex,SS23,True,SUP003,27.22,68.65,sunglasses,2022-09-04
SKU0010,Titanium Cat Eye 10,oval,aluminium,brown,mid,women,SS24,True,SUP024,46.7,138.17,sunglasses,2022-09-04
SKU0011,Titanium Oval 11,round,tr90,navy,mid,unisex,SS23,True,SUP007,65.68,182.12,optical,2022-09-04
SKU0012,Acetate Oval 12,rectangle,stainless_steel,brown,luxury,women,SS24,False,SUP017,301.54,791.82,optical,2023-08-20
SKU0013,Stainless_Steel Rectangle 13,aviator,aluminium,brown,mid,unisex,AW23,True,SUP017,66.7,150.23,optical,2024-03-17
SKU0014,Acetate Cat Eye 14,square,titanium,black,premium,men,SS24,True,SUP013,152.79,341.88,sunglasses,2024-03-10
SKU0015,Wood Round 15,cat_eye,stainless_steel,green,mid,women,SS24,True,SUP023,51.57,167.63,optical,2023-10-15
SKU0016,Acetate Rectangle 16,cat_eye,aluminium,rose_gold,budget,unisex,AW24,True,SUP003,28.93,72.92,sunglasses,2022-06-26
SKU0017,Acetate Round 17,rectangle,tr90,black,mid,unisex,AW23,False,SUP006,67.73,169.33,sunglasses,2024-04-28
SKU0018,Stainless_Steel Rectangle 18,wayfarer,stainless_steel,rose_gold,budget,women,AW23,True,SUP007,31.29,98.0,sunglasses,2023-04-23
SKU0019,Tr90 Square 19,rectangle,titanium,rose_gold,premium,unisex,SS24,False,SUP004,89.09,324.22,optical,2023-04-23
