sku_id,name,frame_shape,material,color,price_point,current_stock,projected_demand_90d,gap,recommended_qty,urgency_score,urgency_band,estimated_cost_usd,estimated_margin_usd,margin_pct,preferred_supplier,supplier_risk_band,lead_time_days,demand_signal_drivers,similar_alternatives,confidence_score
SKU0187,Titanium Square 187,oval,stainless_steel,tortoise,mid,2617,158.03,0.0,113,0.4613,medium,8469.35,10805.09,58.7,SUP021,medium,30,"['high_velocity', 'supplier_risk']","['SKU0107', 'SKU0127', 'SKU0198']",0.9228
SKU0001,Acetate Rectangle 1,oval,tr90,rose_gold,premium,2478,28.99,0.0,105,0.4045,medium,16134.3,27508.01,65.5,SUP002,medium,53,"['high_velocity', 'supplier_risk']","['SKU0037', 'SKU0178', 'SKU0226']",0.9132
SKU0055,Stainless_Steel Aviator 55,oval,aluminium,brown,premium,3868,141.05,0.0,111,0.3396,medium,17108.43,21082.96,57.9,SUP003,medium,56,"['high_velocity', 'supplier_risk']","['SKU0040', 'SKU0156', 'SKU0010']",0.8656
SKU0185,Stainless_Steel Oversized 185,square,stainless_steel,red,premium,2124,23.03,0.0,102,0.3365,medium,11807.52,12875.96,55.3,SUP016,medium,82,['high_velocity'],"['SKU0105', 'SKU0193', 'SKU0267']",0.8535
SKU0272,Wood Wayfarer 272,cat_eye,aluminium,tortoise,budget,1826,130.8,0.0,95,0.3237,medium,2639.1,6736.07,74.5,SUP017,medium,45,['standard_replenishment'],"['SKU0071', 'SKU0207', 'SKU0218']",0.8226
SKU0126,Aluminium Oversized 126,oversized,aluminium,red,mid,2945,113.75,0.0,106,0.3075,medium,6136.34,15699.5,74.2,SUP004,high,94,"['high_velocity', 'supplier_risk']","['SKU0201', 'SKU0162', 'SKU0045']",0.8565
SKU0248,Titanium Rectangle 248,aviator,aluminium,silver,mid,3551,114.32000000000001,0.0,115,0.2947,medium,5797.15,8262.72,61.3,SUP014,low,59,['high_velocity'],"['SKU0034', 'SKU0007', 'SKU0102']",0.8911
SKU0103,Wood Oval 103,aviator,acetate,gold,budget,2588,93.63,0.0,88,0.2895,medium,2589.84,5823.78,71.9,SUP018,medium,47,"['high_velocity', 'supplier_risk']","['SKU0136', 'SKU0070', 'SKU0119']",0.7913
SKU0133,Titanium Rectangle 133,oval,titanium,rose_gold,mid,3233,50.39,0.0,97,0.2885,medium,5566.83,13193.64,72.8,SUP021,medium,30,"['high_velocity', 'supplier_risk']","['SKU0171', 'SKU0175', 'SKU0217']",0.8171
SKU0246,Acetate Rectangle 246,oval,tr90,rose_gold,premium,579,4.609999999999999,0.0,58,0.288,medium,8986.52,7360.05,57.2,SUP025,high,57,['supplier_risk'],"['SKU0074', 'SKU0001', 'SKU0019']",0.6968
SKU0077,Titanium Wayfarer 77,aviator,tr90,silver,budget,2360,212.26,0.0,105,0.2835,medium,5253.15,5866.86,56.7,SUP006,medium,49,['standard_replenishment'],"['SKU0108', 'SKU0125', 'SKU0136']",0.7963
